id,text,description
0,２時間しか寝てない,人物：短髪の少年、シャツ姿、顔をやや斜め向きで自信ありげな姿勢;表情：目を大きく見開き、口元に微笑み、やる気や自信が感じられる;背景：背景は白一色で場所や時間帯の情報なし;効果：集中線や擬音語なし、人物にシャドウとハイライトの描写;トーン：全体的に明るく、前向きな雰囲気;印象：少ない睡眠でも前向きなパワーや自信、やる気が強く伝わる
1,僕は…汚い大人になんかなりたくない…,人物：短髪の少年、制服風の服装、横顔で真剣な姿勢;表情：強い決意と嫌悪感が表れている;背景：白背景で場所や時間の情報なし;効果：集中線や擬音はなく、キャラの表情強調;トーン：緊張感と葛藤が漂う暗めの雰囲気;印象：読者に強い反発心と純粋さを感じさせる
2,ほっといても死ぬ…どうせ死ぬなら腹を開けろ…,人物：中年〜高齢の男性、眼鏡をかけ、上から強い視線で睨みつけている。;表情：目を見開き、怒りや強い決意、狂気が感じられる。;背景：背景は省略され、キャラクターの顔のアップが強調。;効果：目元を強調する細かい線とトーンで緊張感が増幅。;トーン：暗く鋭い雰囲気、緊張感と重圧が強い。;印象：切迫した状況と冷酷な決意、圧倒的な威圧感が伝わる。
3,違う！！僕みたいな研修医を一人しか置かない病院が悪いんだ！！,人物：若い男性が床に手をつき、年配の男性が立って見下ろしている。;表情：若い男性は必死な表情、強い訴えを感じさせる。;背景：本棚が並ぶ狭い室内、夜の医療現場の一角。;効果：セリフの強調に大きなフキダシ、緊張感を高める線。;トーン：緊張感が高く、切迫した雰囲気。;印象：追い詰められた状況での叫びが読者に危機感を伝える。
4,そもそも俺が金を取ることとお前がオペをしなかったことに何の関係がある？,人物：中年男性、眼鏡・口ひげ・シワが多い、顔がアップで描かれている;表情：目を見開き驚愕や動揺、不安が感じられる;背景：なし、人物の顔にフォーカス;効果：細かい線やハッチングで緊張感を強調;トーン：重苦しく緊迫した雰囲気;印象：読者に強い緊張感と圧迫感、事態の深刻さを伝える
5,聞こえのいい正論をするな,人物：中年男性、眼鏡、口髭、横顔、真剣な姿勢;表情：眉をひそめ、口を引き結び苛立ちや厳しさが表れている;背景：白背景、場所や時間帯は不明、特定の環境描写なし;効果：集中線や擬音語なし、余白が強調されている;トーン：緊張感があり、重苦しい雰囲気;印象：厳しい忠告や警告が強く読者に伝わる
6,強くなれ,人物：中年の男性、メガネと口ひげ、スーツ姿、正面を見ている。;表情：沈んだ目と口元、悲しみや切なさが感じられる。;背景：白い空間、場所や時間は特定できない。;効果：細かい陰影やトーンで重々しさを演出。;トーン：暗く重苦しい、シリアスな雰囲気。;印象：読む人に強さを求める苦悩や葛藤を訴える。
7,このまま田舎に帰りてぇぇぇ,人物：少年、短髪、制服姿、顔を大きく前に突き出して叫ぶ;表情：目を閉じて大声で泣き叫び、強い怒りや悔しさ;背景：白背景に集中線、場所や時間の明示なし;効果：集中線でインパクト強調、大きなセリフで感情表現;トーン：緊張感と絶望感が強い雰囲気;印象：読者に強い切迫感とキャラの葛藤が伝わる
8,なんだったんだ・・・今の・・・？,人物：若い医師、手術帽とマスク、手術着姿でやや身を固くしている。;表情：目を大きく見開き驚きや困惑が感じられる。;背景：作業中の室内、具体的な機器や窓などは描写なし。;効果：汗の描写で緊張感を演出、集中線や擬音語はなし。;トーン：緊張感と不安が漂うシリアスな雰囲気。;印象：緊迫した状況で何か予想外のことが起こったことが伝わる。
9,手遅れだったからだ,人物：眼鏡をかけた中年男性、アップで顔の一部のみ描写。;表情：目元が鋭く、険しい表情で緊張感を持つ。;背景：背景はトーンのみで場所や時間帯は不明。;効果：集中線や影トーンで緊迫感を演出。;トーン：全体的に暗く重い雰囲気。;印象：読者に深刻さや後悔の念を強く伝える。
